tray,dish,treat_num,treatment,hive
1,1,1,9-ODA and 9-HDA,Skylab
1,2,2,9-ODA,Skylab
1,3,3,9-HDA,Skylab
1,4,4,HOB and HVA,Skylab
1,5,5,9-HDA and HVA,Skylab
1,6,6,9-HDA and HOB,Skylab
1,7,7,9-ODA and HVA,Skylab
1,8,8,9-ODA and HOB,Skylab
1,9,9,HVA,Skylab
1,10,10,HOB,Skylab
1,11,11,10-HDA (worker control),Skylab
1,12,12,Solvent control,Skylab
2,1,1,,Skylab
2,2,2,,Skylab
2,3,3,,Skylab
2,4,4,,Skylab
2,5,5,,Skylab
2,6,6,,Skylab
2,7,7,,Skylab
2,8,8,,Skylab
2,9,9,,Skylab
2,10,10,,Skylab
2,11,11,,Skylab
2,12,12,,Skylab
3,1,5,,Skylab
3,2,3,,Skylab
3,3,4,,Skylab
3,4,8,,Skylab
3,5,2,,Skylab
3,6,1,,Skylab
3,7,7,,Skylab
3,8,6,,Skylab
3,9,9,,Skylab
3,10,10,,Skylab
3,11,11,,Skylab
3,12,12,,Skylab
4,1,5,,Zoology
4,2,6,,Zoology
4,3,7,,Zoology
4,4,8,,Zoology
4,5,1,,Zoology
4,6,2,,Zoology
4,7,3,,Zoology
4,8,4,,Zoology
4,9,12,,Zoology
4,10,11,,Zoology
4,11,10,,Zoology
4,12,9,,Zoology
5,1,8,,Zoology
5,2,12,,Zoology
5,3,4,,Zoology
5,4,7,,Zoology
5,5,10,,Zoology
5,6,11,,Zoology
5,7,6,,Zoology
5,8,2,,Zoology
5,9,1,,Zoology
5,10,5,,Zoology
5,11,9,,Zoology
5,12,3,,Zoology
6,1,12,,Zoology
6,2,11,,Zoology
6,3,10,,Zoology
6,4,9,,Zoology
6,5,8,,Zoology
6,6,7,,Zoology
6,7,6,,Zoology
6,8,5,,Zoology
6,9,4,,Zoology
6,10,3,,Zoology
6,11,2,,Zoology
6,12,1,,Zoology
7,1,6,,Zoology
7,2,1,,Zoology
7,3,2,,Zoology
7,4,3,,Zoology
7,5,9,,Zoology
7,6,10,,Zoology
7,7,12,,Zoology
7,8,11,,Zoology
7,9,4,,Zoology
7,10,5,,Zoology
7,11,7,,Zoology
7,12,8,,Zoology
8,1,1,,Zoology
8,2,4,,Zoology
8,3,7,,Zoology
8,4,10,,Zoology
8,5,2,,Zoology
8,6,5,,Zoology
8,7,8,,Zoology
8,8,11,,Zoology
8,9,3,,Zoology
8,10,6,,Zoology
8,11,9,,Zoology
8,12,12,,Zoology
9,1,10,,Zoology
9,2,7,,Zoology
9,3,4,,Zoology
9,4,1,,Zoology
9,5,11,,Zoology
9,6,8,,Zoology
9,7,5,,Zoology
9,8,2,,Zoology
9,9,12,,Zoology
9,10,9,,Zoology
9,11,6,,Zoology
9,12,3,,Zoology
10,1,1,,Skylab
10,2,2,,Skylab
10,3,3,,Skylab
10,4,4,,Skylab
10,5,5,,Skylab
10,6,6,,Skylab
10,7,7,,Skylab
10,8,8,,Skylab
10,9,9,,Skylab
10,10,10,,Skylab
10,11,11,,Skylab
10,12,12,,Skylab
11,1,4,,Zoology
11,2,3,,Zoology
11,3,2,,Zoology
11,4,1,,Zoology
11,5,8,,Zoology
11,6,7,,Zoology
11,7,6,,Zoology
11,8,5,,Zoology
11,9,12,,Zoology
11,10,11,,Zoology
11,11,10,,Zoology
11,12,9,,Zoology
12,1,12,,Skylab
12,2,11,,Skylab
12,3,10,,Skylab
12,4,9,,Skylab
12,5,8,,Skylab
12,6,7,,Skylab
12,7,6,,Skylab
12,8,5,,Skylab
12,9,4,,Skylab
12,10,3,,Skylab
12,11,2,,Skylab
12,12,1,,Skylab
13,1,1,,Skylab
13,2,4,,Skylab
13,3,7,,Skylab
13,4,10,,Skylab
13,5,2,,Skylab
13,6,5,,Skylab
13,7,8,,Skylab
13,8,11,,Skylab
13,9,3,,Skylab
13,10,6,,Skylab
13,11,9,,Skylab
13,12,12,,Skylab
14,1,5,,Zoology
14,2,6,,Zoology
14,3,9,,Zoology
14,4,10,,Zoology
14,5,12,,Zoology
14,6,11,,Zoology
14,7,7,,Zoology
14,8,2,,Zoology
14,9,8,,Zoology
14,10,3,,Zoology
14,11,1,,Zoology
14,12,4,,Zoology
15,1,8,,Skylab
15,2,12,,Skylab
15,3,11,,Skylab
15,4,10,,Skylab
15,5,3,,Skylab
15,6,6,,Skylab
15,7,4,,Skylab
15,8,7,,Skylab
15,9,9,,Skylab
15,10,2,,Skylab
15,11,5,,Skylab
15,12,1,,Skylab
16,1,9,,Skylab
16,2,10,,Skylab
16,3,5,,Skylab
16,4,6,,Skylab
16,5,7,,Skylab
16,6,8,,Skylab
16,7,11,,Skylab
16,8,12,,Skylab
16,9,1,,Skylab
16,10,2,,Skylab
16,11,4,,Skylab
16,12,3,,Skylab
17,1,7,,Skylab
17,2,8,,Skylab
17,3,6,,Skylab
17,4,12,,Skylab
17,5,5,,Skylab
17,6,2,,Skylab
17,7,1,,Skylab
17,8,10,,Skylab
17,9,11,,Skylab
17,10,9,,Skylab
17,11,4,,Skylab
17,12,3,,Skylab
18,1,12,,Zoology
18,2,9,,Zoology
18,3,5,,Zoology
18,4,1,,Zoology
18,5,7,,Zoology
18,6,11,,Zoology
18,7,4,,Zoology
18,8,6,,Zoology
18,9,10,,Zoology
18,10,3,,Zoology
18,11,2,,Zoology
18,12,8,,Zoology
19,1,4,,Zoology
19,2,9,,Zoology
19,3,3,,Zoology
19,4,2,,Zoology
19,5,6,,Zoology
19,6,11,,Zoology
19,7,12,,Zoology
19,8,7,,Zoology
19,9,10,,Zoology
19,10,8,,Zoology
19,11,5,,Zoology
19,12,1,,Zoology
20,1,11,,Garden
20,2,12,,Garden
20,3,9,,Garden
20,4,10,,Garden
20,5,7,,Garden
20,6,8,,Garden
20,7,5,,Garden
20,8,6,,Garden
20,9,3,,Garden
20,10,4,,Garden
20,11,1,,Garden
20,12,2,,Garden
21,1,5,,Garden
21,2,6,,Garden
21,3,7,,Garden
21,4,8,,Garden
21,5,1,,Garden
21,6,2,,Garden
21,7,3,,Garden
21,8,4,,Garden
21,9,9,,Garden
21,10,10,,Garden
21,11,11,,Garden
21,12,12,,Garden
22,1,11,,Garden
22,2,12,,Garden
22,3,7,,Garden
22,4,8,,Garden
22,5,1,,Garden
22,6,2,,Garden
22,7,3,,Garden
22,8,4,,Garden
22,9,5,,Garden
22,10,6,,Garden
22,11,9,,Garden
22,12,10,,Garden
23,1,10,,Zoology
23,2,9,,Zoology
23,3,6,,Zoology
23,4,2,,Zoology
23,5,5,,Zoology
23,6,7,,Zoology
23,7,12,,Zoology
23,8,1,,Zoology
23,9,11,,Zoology
23,10,8,,Zoology
23,11,4,,Zoology
23,12,3,,Zoology
24,1,5,,Garden
24,2,10,,Garden
24,3,6,,Garden
24,4,3,,Garden
24,5,9,,Garden
24,6,2,,Garden
24,7,7,,Garden
24,8,4,,Garden
24,9,1,,Garden
24,10,11,,Garden
24,11,12,,Garden
24,12,8,,Garden
25,1,1,,Garden
25,2,8,,Garden
25,3,2,,Garden
25,4,3,,Garden
25,5,6,,Garden
25,6,9,,Garden
25,7,12,,Garden
25,8,4,,Garden
25,9,11,,Garden
25,10,5,,Garden
25,11,7,,Garden
25,12,10,,Garden
26,1,1,,Garden
26,2,2,,Garden
26,3,3,,Garden
26,4,4,,Garden
26,5,5,,Garden
26,6,6,,Garden
26,7,7,,Garden
26,8,8,,Garden
26,9,9,,Garden
26,10,10,,Garden
26,11,11,,Garden
26,12,12,,Garden
27,1,1,,Zoology
27,2,4,,Zoology
27,3,7,,Zoology
27,4,10,,Zoology
27,5,2,,Zoology
27,6,5,,Zoology
27,7,8,,Zoology
27,8,11,,Zoology
27,9,3,,Zoology
27,10,6,,Zoology
27,11,9,,Zoology
27,12,12,,Zoology
28,1,1,,Garden
28,2,12,,Garden
28,3,5,,Garden
28,4,8,,Garden
28,5,10,,Garden
28,6,11,,Garden
28,7,9,,Garden
28,8,4,,Garden
28,9,6,,Garden
28,10,7,,Garden
28,11,2,,Garden
28,12,3,,Garden
29,1,9,,Garden
29,2,10,,Garden
29,3,11,,Garden
29,4,12,,Garden
29,5,1,,Garden
29,6,2,,Garden
29,7,3,,Garden
29,8,4,,Garden
29,9,5,,Garden
29,10,6,,Garden
29,11,7,,Garden
29,12,8,,Garden
30,1,5,,Garden
30,2,1,,Garden
30,3,9,,Garden
30,4,10,,Garden
30,5,11,,Garden
30,6,12,,Garden
30,7,7,,Garden
30,8,8,,Garden
30,9,2,,Garden
30,10,3,,Garden
30,11,6,,Garden
30,12,4,,Garden
31,1,1,,Garden
31,2,2,,Garden
31,3,3,,Garden
31,4,4,,Garden
31,5,5,,Garden
31,6,6,,Garden
31,7,7,,Garden
31,8,8,,Garden
31,9,9,,Garden
31,10,10,,Garden
31,11,11,,Garden
31,12,12,,Garden
32,1,9,,Zoology
32,2,10,,Zoology
32,3,1,,Zoology
32,4,8,,Zoology
32,5,11,,Zoology
32,6,12,,Zoology
32,7,7,,Zoology
32,8,3,,Zoology
32,9,6,,Zoology
32,10,5,,Zoology
32,11,2,,Zoology
32,12,4,,Zoology
33,1,9,,Garden
33,2,12,,Garden
33,3,7,,Garden
33,4,2,,Garden
33,5,8,,Garden
33,6,9,,Garden
33,7,11,,Garden
33,8,3,,Garden
33,9,10,,Garden
33,10,5,,Garden
33,11,6,,Garden
33,12,1,,Garden
34,1,5,,Garden
34,2,6,,Garden
34,3,7,,Garden
34,4,8,,Garden
34,5,9,,Garden
34,6,10,,Garden
34,7,11,,Garden
34,8,12,,Garden
34,9,1,,Garden
34,10,2,,Garden
34,11,3,,Garden
34,12,4,,Garden
35,1,1,,Garden
35,2,2,,Garden
35,3,5,,Garden
35,4,6,,Garden
35,5,3,,Garden
35,6,4,,Garden
35,7,7,,Garden
35,8,8,,Garden
35,9,11,,Garden
35,10,12,,Garden
35,11,9,,Garden
35,12,10,,Garden